gene	case1	case2	case3	case4	case5	case6	case7	control1	control2	control3	control4	control5	control6	control7
1700003C15Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700003D09Rik	2022	1962	2138	1861	2113	2229	2192	16537	15808	16147	23193	12973	22128	17336
1700003E16Rik	2	7	8	14	5	8	7	7	22	24	15	12	18	20
1700003E24Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700003F12Rik	55	97	77	55	35	52	51	36	52	59	45	34	32	31
1700003F17Rik	27	21	27	23	16	28	29	23	39	20	40	12	35	24
1700003G13Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700003G18Rik	1	0	0	0	0	0	0	4	2	2	3	1	0	0
1700003H04Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700003L19Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700003M02Rik	1	0	1	1	1	0	0	0	0	0	0	0	0	1
1700003M07Rik	40	38	36	20	33	35	27	49	64	72	53	28	53	32
1700003P14Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700006A11Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700006E09Rik	1	0	0	0	0	0	0	0	0	1	0	0	0	0
1700006F04Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700006H21Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700006J14Rik	1	0	1	0	0	0	0	0	0	0	0	0	0	0
1700007B14Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700007E05Rik	0	1	0	0	0	0	1	0	0	0	0	0	0	0
1700007F19Rik	1	1	0	0	1	2	1	3	5	3	4	6	3	1
1700007G11Rik	0	0	0	0	0	0	0	0	1	0	0	0	0	0
1700007I08Rik	87	121	86	104	47	51	74	45	86	77	65	50	47	34
1700007J10Rik	1497	1605	1519	1551	1583	1409	1835	1071	1267	978	1354	824	1330	1120
1700007K09Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700007K13Rik	2	1	0	1	0	0	1	0	2	1	2	0	2	0
1700007L15Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	1
1700007P06Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	2
1700008A04Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700008F21Rik	12	13	19	13	13	15	21	47	37	29	34	30	29	32
1700008I05Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700008J07Rik	113	72	89	71	94	71	103	41	67	58	86	41	72	77
1700008K24Rik	0	0	0	0	0	0	0	4	3	1	8	2	3	4
1700008O03Rik	101	122	124	110	105	154	111	102	108	101	100	95	61	56
1700008P02Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700008P20Rik	0	0	0	0	1	0	1	1	0	0	0	0	0	1
1700009C05Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700009J07Rik	0	0	0	0	1	0	0	0	0	0	0	0	0	1
1700009N14Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700009P17Rik	0	0	2	0	5	2	2	0	1	0	0	1	0	2
1700010B08Rik	1	0	0	0	0	0	0	0	0	0	0	0	0	0
1700010B13Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700010D01Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	1
1700010H22Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700010I02Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700010I14Rik	0	0	0	0	0	0	0	0	0	0	1	0	0	0
1700010J16Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700010K23Rik	678	903	759	746	738	758	896	1187	1316	1091	1437	924	1216	1044
1700010L04Rik	3	4	2	3	3	2	5	4	3	2	8	2	5	5
1700010M22Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700011A15Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700011B04Rik	0	0	0	1	0	0	0	0	0	0	0	0	0	0
1700011E24Rik	0	0	0	0	0	0	0	0	0	0	1	0	0	1
1700011F03Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700011F14Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700011H14Rik	1	1	0	0	1	1	2	0	0	0	1	1	0	0
1700011I03Rik	0	0	3	0	2	0	0	1	0	1	1	0	0	0
1700011J10Rik	88	82	125	109	94	108	128	37	80	60	80	39	88	68
1700011L22Rik	0	0	0	0	0	0	0	0	0	0	0	0	1	0
1700011M02Rik	1	1	1	3	0	0	1	1	3	1	1	1	5	5
1700012A03Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700012A16Rik	2	1	3	0	0	0	0	0	2	1	4	0	2	3
1700012B07Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700012B09Rik	0	0	1	0	0	0	0	0	0	0	0	0	0	0
1700012B15Rik	549	569	554	588	539	515	692	527	532	505	646	351	595	497
1700012D01Rik	20	32	30	33	33	27	15	45	38	55	54	39	51	29
1700012D14Rik	0	1	0	2	0	1	0	1	2	4	0	0	1	1
1700012I11Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700012L04Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700012P22Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700013D24Rik	0	0	1	0	0	0	0	0	0	0	0	0	0	0
1700013F07Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700013G23Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700013G24Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700013H16Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700013N18Rik	0	0	0	1	2	0	2	0	2	0	1	0	2	0
1700014N06Rik	0	0	0	2	0	1	1	0	0	1	0	0	0	0
1700015E13Rik	8	10	13	4	11	4	8	10	20	12	12	8	22	16
1700015F17Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700015G11Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700016C15Rik	8	2	10	5	2	13	8	4	2	6	4	1	1	2
1700016D06Rik	0	3	0	0	1	0	0	0	0	0	0	0	0	0
1700016G14Rik	0	0	0	0	0	0	1	0	1	1	0	1	0	0
1700016G22Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700016H13Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700016K19Rik	0	0	2	0	1	0	0	0	1	2	0	1	2	1
1700016L04Rik	0	0	1	0	0	0	0	0	3	0	0	1	2	0
1700016L21Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700016M24Rik	0	0	1	1	1	0	0	0	0	0	4	0	0	0
1700016P04Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700017B05Rik	0	0	0	1	0	0	0	1	3	0	1	0	0	1
1700017D01Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700017G19Rik	3	1	0	2	2	0	0	0	0	1	0	1	0	1
1700017J07Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700017N19Rik	0	0	1	0	0	0	0	0	0	0	0	0	0	0
1700018A04Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700018A14Rik	0	0	0	0	0	0	0	0	1	1	0	0	0	1
1700018B08Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700018B24Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700018C11Rik	1	5	3	3	0	3	1	1	4	1	3	6	0	5
1700018F24Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700018G05Rik	22	24	20	21	21	14	19	19	15	9	9	13	27	29
1700018L02Rik	362	350	372	376	385	402	539	293	322	278	349	310	454	345
1700018L24Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700019A02Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700019B03Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700019B21Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700019D03Rik	2	2	1	3	2	4	2	0	0	4	1	1	0	0
1700019E08Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700019E19Rik	0	0	0	0	1	1	0	0	1	0	0	1	1	0
1700019G17Rik	3	0	1	1	0	1	0	0	0	0	0	2	7	0
1700019G24Rik	0	0	1	1	1	1	5	2	0	0	1	1	0	0
1700019L03Rik	62	79	79	68	53	48	58	68	108	109	120	70	114	65
1700019M22Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700019N12Rik	16	18	18	18	12	17	11	5	7	10	14	6	8	7
1700019N19Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700019O17Rik	0	0	0	2	0	0	0	0	0	0	0	1	0	0
1700019P21Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700020A23Rik	18	33	25	14	20	12	27	14	16	12	17	5	27	20
1700020C07Rik	0	0	1	1	0	0	1	2	2	4	5	0	2	3
1700020D05Rik	0	0	0	1	1	0	1	0	0	0	0	0	0	0
1700020G17Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700020I14Rik	3	5	11	5	3	7	4	0	4	1	4	3	1	3
1700020L24Rik	85	79	85	77	52	42	62	32	54	38	37	38	57	33
1700020M21Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700020N01Rik	0	0	0	0	1	0	0	0	0	0	0	0	0	0
1700020N15Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700020N18Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700020O03Rik	3	4	2	1	2	3	0	1	1	1	3	1	0	2
1700021A07Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700021C14Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700021F05Rik	4	4	3	9	1	1	3	1	4	4	3	5	4	4
1700021F07Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700021K19Rik	1	3	3	1	1	2	2	2	2	1	2	2	2	4
1700021N21Rik	2	0	1	5	2	3	3	2	6	6	2	6	4	3
1700021P04Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700022A21Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700022A22Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700022E09Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700022H16Rik	0	0	0	0	0	0	0	0	2	0	0	0	0	0
1700022I11Rik	7	4	2	4	2	3	4	2	4	3	5	7	0	1
1700022N22Rik	26	29	24	24	28	17	31	26	43	21	31	23	34	26
1700022P22Rik	8	8	3	8	2	4	9	4	6	8	2	2	6	4
1700023A16Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700023C21Rik	0	0	0	0	0	0	0	1	1	0	0	0	0	0
1700023E05Rik	0	1	0	1	0	0	0	0	0	0	0	0	0	0
1700023F02Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700023F06Rik	15	7	5	14	6	6	4	0	1	6	1	1	0	2
1700023L04Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700024B05Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700024B18Rik	5	3	3	2	0	3	1	0	1	2	2	2	2	2
1700024F13Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700024F20Rik	4	2	2	1	2	0	2	0	5	0	5	3	1	3
1700024G13Rik	0	0	0	0	0	0	0	0	0	0	0	1	0	0
1700024P03Rik	1	3	2	2	0	0	1	2	2	0	3	1	0	0
1700024P04Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700024P16Rik	6	7	8	12	13	8	6	3	5	5	8	5	6	3
1700025B11Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700025C18Rik	0	0	0	1	0	0	0	0	0	0	0	0	0	0
1700025E21Rik	0	0	0	0	0	1	0	3	1	2	2	2	7	5
1700025F22Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700025F24Rik	0	0	0	3	5	2	5	3	5	3	4	14	6	7
1700025G04Rik	11	5	7	8	15	5	15	3	9	8	6	2	7	2
1700025H01Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700025K23Rik	0	0	0	0	0	1	0	0	0	2	1	2	0	0
1700025K24Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700025M24Rik	0	0	1	0	0	0	0	0	0	0	0	0	0	1
1700025N23Rik	1	0	1	0	1	1	0	0	1	0	0	0	0	0
1700026D08Rik	0	0	0	0	0	0	0	0	1	0	0	0	0	0
1700026D11Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700026F02Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700026J04Rik	0	1	1	0	1	0	1	0	3	2	1	0	2	0
1700026J12Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700026L06Rik	0	0	0	0	0	0	0	0	0	1	0	0	0	1
1700027A15Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700027A23Rik	0	0	0	0	1	0	0	0	1	1	1	0	0	0
1700027D21Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700027F09Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700027H10Rik	94	107	94	78	71	95	118	503	660	594	650	401	716	545
1700027I24Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700027J07Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700028B04Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700028D13Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700028E10Rik	0	0	0	3	0	1	1	0	3	2	0	1	0	2
1700028I16Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700028J19Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700028K03Rik	353	410	419	324	285	367	388	269	296	349	340	228	272	236
1700028M03Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700028P14Rik	0	0	1	0	0	0	1	0	0	0	0	0	0	0
1700028P15Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700029B22Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700029E06Rik	0	0	0	0	1	1	0	0	0	0	0	0	1	1
1700029F09Rik	1	0	0	0	1	1	0	0	1	0	0	0	0	0
